Name of Company,Type of Industry,Company Address
"Filoil Gas and Energy Company, Inc. ",Petroleum Trading,"Bldg. F. Phoenix Sun Business Park,. E. Rodriguez Jr. Avenue, Bagumbaya Quezon City"
Finex Marketing Services,Outsourcing,Unit 2006 Herrera Tower Rufino Cor. Valero St. Salcedo Village Makati City
"FINMAT International Resources, Inc.",General Engineering,"No. 371 Dr. Sixto Antonio Avenue, Caniongan, Pasig City, Philippines "
Finastra,,"8/F Zuelig Building, Makati Avenue corner, Paseo de Roxas, Makati City 1225"
"First Priority Logistics Solutions, Inc.",Industrial Engineering/ Industrial Transportation/ Support Services/ General Industrials,"18-E Kabignayan St, Brgy Dona Josefa, Quezon City, Metro Manila, NCR, 1107"
Fire Clay Corporation,"Software & Computer Services, Technology Hardware & Equipment",Unit 207 First Midland Office Condominium Bldg.109 Gamboa St. Legazpi Village Makati City
"Fire Solutions, Inc.","Professional, Scientific, and Technical Services industry",54 Katipunan St. Barangay Concepcion Marikina City
Firebird Construction and Realty Corporation,Construction Company,"2/F Algers Bldg. E. Jacinto cor. Sumulong Highway Sto.Niño, Marikina City"
First Data Corporation,IT Solution  and Services Provider,"3/F Citibank Center, 8741 Paseo de Roxas, Makati City, Philippines"
First HVAC Inc.,Construction Materials / Mechanical,Block 8 Lot 10 Atis St. Verdant Subd. Las Pinas
First Oceanic Property Management,Property Management,"7/F Paseo Centre BUilding, 8757 Paseo de Roxas cor. Sedeno Street, Salcedo Village, Makati City, Philippines"
"Fisher-Rosemount Systems, Inc.",IT/Engineering,"32F One San Miguel Ave. Bldg. San Miguel Ave. Cor. Shaw Blvd. Ortigas Center, Pasig City"
FJ Sparks Enterprise,Retail and Professional Services,"119-D Benavidez Street, Pedro Cruz, San Juan, Manila, Philippines"
Flint Technology Corporation,Banks/Insurance/Financial services,"9f WeWork Uptown bonifacio tower three, 36th Street corner & 11th Ave. Taguig City"
"Flow Harmonic Commercial, Inc.",Trading/Importation,"77 7th St. Isla Homes 2 and 3 Sandoval Ave. Pinagbuhatan, Pasig City"
Fluor Philippines,Milling Industry,"3/F Asian Star Building, ASEAN Drive, Filinvest Corporate City, Alabang, Muntinlupa Philippines 1781"
Fly Far Away tTravel and Tours,Travel & Leisure,"304 Fabricare Bldg., 8459 Dr. A Santos Ave. Sucat Paranaque"
Foodsphere Inc.,Food & Beverage,"560 West Service Road, Paso De Blas, Valenzuela City"
Ford Quezon Avenue.,selling vehicles and service,Quezon Ave cor. Apo st. Brgy. Sta. Teresita Quezon City
Forklink. Inc.,Computer Warehouse and Services,11-A CVJ Bldg. n. Roxas St. Quezon City
Forssman Pacific Corporation,Civil Engineering Construction,"2/F Prince Building, 117 Rada Street, Legaspi Village, Makati City, Philippines"
"Fortworth, Inc. (PCMed - Technokids PH)",Software and Computer Services,"3/F Legaspi Towers, Roxas Boulevard, Malate, Manila, Philippines 1004"
"Foundation For A Sustainable Society, Inc",Non-Stoock/ Non Profit,"46E-Eugenio Lopez St. Corner Samar Ave. Brgy. South Triangle, Quezon City"
"Four Corners Solutions and Services, Inc.",Software and Computer Services,"Comm'l 4 Grd. Flr. CEH Golden Red Corp Bldg. 626 Sultan Brgy. Hway Hills, Mandaluyong City"
Fourcorex Inc,Software & Computer Services,"901C Isabelle de Valenzuela Tower C, Marulas, Valenzuela"
"Fourpointzero, Inc.",Software Development Company," Exchange Road, 814 West Tektite Tower, PSE Center, Ortigas Center, Pasig, Metro Manila"
FTRDEV SOFTWARE CONSULTANCY,Advertising / Design / Marketing/ Business Process Outsourcing/ Software & Computer Services,"20-D A. DE GUZMAN ST. CONCEPCION UNO, MARIKINA CITY"
FPG Insurance,Insurance/Financial Services,"6F Zuellig Bldg. Makati Ave. Cor. Paseo De Roxas, Makati City"
"Freight Connection Philippines, Inc. ",Shipping/Forwarding,"3F Unit E-I Malate Bayview Mansion, 1781 Adriatico St., Malate, Manila"
"Freight Connection Philippines, Inc. ",,"3F Unit E-I Malate Bayview Mansion, 1781 Adriatico St., Malate, Manila"
Freyssinet International Manila Inc. ,Construction & Engineering Services,"unit 5B-9 5/F Pearlbank Centre, 146 Valero St., Salcedo Village, Makati City"
Frost Design and Consulting Group Inc,Software & Computer Services,Unit 1516 City & Land MegaPlaza ADB Ave. Garnet Rd. Ortigas Center Pasig city
Fugz Solutions Marketing,Programing/IT,"58-C Stephanie Place, Road 3, Project 6, Quezon City, Philippines"
Fujitsu Enterprise Solutions,,"6/F South Park Plaza, Paseo de Magallanes, Makati City, Philippines 1232"
Fujitsu GDC (WeServ Systems Intl.),,"12F NetSquare Bldg., 3rd Avenue cor 28th St., Crescent Park West, BGC, Taguig"
"Fujitsu Philippines, Inc.",,"2/F United Life Building, 837 A. Arnaiz Avenue, Legaspi Village, Makati City, Philippines"
"Fujitsu Ten Solutions Philippines, Inc.",Software and Computer Services,"25th/F Hanston Square, 17 San Miguel Ave. Ortigas Center Pasig City"
"Funguy Studio Philippines, Inc.",Game and Web Development,"Level 26 Suite P, Burgandy Corporate Center, Sen. Gil Puyat Avenue, Makati City, Philippines"
Fusion Integrated Service Cooperative,Human Resources,"GF Agro Bldg., 574 EDSA Brgy. Socorro, Cubao, Quezon City"
FWD Life Insurance Inc.,Insurance Company,"26/F IBP Tower Julia Vargas Avenue, Ortigas Center, Pasig City 1605, Pasig City, 1605"
Galing Pook ,Government agency,"25 Mahusay cor Malinis , streets, UP villlage Diliman Quezon city"
"Gameloft Philipines, Inc.",Game and Web Development,15th phil axa life center sen gen cor Tindalo st makati 
Garena Philippines,Game and Web Development,"8/F World Plaza, 5th Ave, Fort Bonifacio Global City"
"GCH International Mercantile, Inc.",Trading & Servicing For Engineering & Food Industry,"Suite 506 One Corporate Plaza, 845 Arnaiz Avenue, San Lorenzo, Makati City, Philippines"
Genecon Construction,General Construction and General Traiding,2F. RUS 888 Bldg. 170 .E.Rodriguez Jr Ave. Saint Ignatius Quezon City
"Genisystems Solutions, Inc.",Computer Equipment and Software,"Unit 1001, 10/F South Insula, 61 Timog Avenue, Brgy. Sacred Heart, Quezon City, Philippines"
Geoquest Geotechnical Studies and Drilling Services,Construction and Materials,"LOot 17 Block 19, Opal st. Citation Homes, Bahay Pare, Meycauayan, Bulacan"
"Geospatial Solutions, Inc.",Construction and Materials,"2F Algers Bldg. E. Jacinto Cor. Sumulong H-way Sto. Nino, Marikina City"
Gerper Engineering,PIC Manufacturing Designer,"Lot 48-49 Blk.4 Easter St. Gregory Subdv. Brgy.San Isidro, Cainta, Rizal"
"Global Process Manager, Inc.","relation management services, database entry and management","17/F Times Plaza Building, UN Avenue cor. Taft Avenue, Manila, Philippines"
Global Sapphire Filipinas. Inc.,IT/Service Integrator,"Unit 226 Mile Long Bldg. Amorsolo St. Legaspi Village, Makati City"
Global Span Corporation,BPO,"10 Brixton Technology Center, Brgy Kapitolyo, Pasig city"
"Global Strategic Solutions & Services, Inc.",Sofware and computer Services,"15th Flr, Unit 1505 Jollibee Center Condominium, San Miguel Ave., San Antonio Village, Pasig City"
Global Water Engineering Corporation,,"1314 Commerce Ave Ext Richville Corporate Center Ayala Alabang, Muntinlupa 1770 Metro Manila Philippines"
Global-V Builders Company,,"4546 Quintos Street, Poblacion, Makati City, Philippines"
Globe - Isabela,,"No. 17 Globe Telecom Tower, Maharlika Highway, Brgy. Cabruan, Cauayan City, Isabela, Philippines"
"GLOBE Telecom, Inc.",,"The Globe Tower, 32nd Street cor. 7th Avenue, Bonifacio Global City, Taguig City, Philippines"
Glowateng Corporation,Utilities,"Richville Corp. Center, 1314 Commerce Ave. Ext., Madrigal Business Park, Alabang Muntinlupa City"
"Glyphstudios, Inc.",Telecommunications,"Unit 1003, The Orient Square Building, F. Ortigas Jr. Avenue, Ortigas Center, Pasig City, Philippines 1605"
"GMA New Media, Inc.","Software Development, R & D, Web Development, Mobile Development","12/F GMA Network Center, EDSA cor. Timog Avenue, Diliman, Quezon City, Philippines"
GMO-Z.Com Philippines,Software & Computer Services,"23rd Flr. Zuellig Building, Makati Ave. Cor. Paseo  De Roxas, Makati City"
Golden Faith Academy,Education / Training,"GFA Montevista Campus Montevista Heights Subdivision, Taytay, Rizal, 1920 GFA L.Wood Campus L.Wood Road, Brgy. Dolores, Taytay Rizal 1920"
Golden Arches Development Corporation,Food & Beverage,"16/F Citibank Center Building, Paseo de Roxas Street, Makati City, Philippines"
"Golden Aurum System Solutions, Inc.",Pioneer and leading RFID Solutions provider in the country,"1327 Chua Ang Sing Bldg., Sanchez Ext, Between LA Torre and Padre Algue Streets, Manila"
Golden Pencil Manila Events & Production Inc.,Advertising / Design / Marketing,54 C. Consul St. Fairview
"Golden Sun Staffing Services International, Inc.",Employment Agencies,"Rm. 305 3/F Go Tan Nards Building, 45 EDSA, Bangkal, Makati City, Philippines"
"Goldlink Network Solution, Inc.","Network,Cabling & Electrical System Company","Unit 2-C A&M Bldg. No 9, Commonwealth Ave. Diliman, Quezon City"
Goldshine Pharmaceuticals Inc., Manufacturer of Pharmaceutical products,"27 Don Pedro St. Kapalaran SuM. Brgy. Holy Spirit Quezon City, NCR, philippines"
"GolfPH, Inc. (GolfPH.com)",Advertising/Marketing,"Unit  10-A, 5th Ave. cor, 26th Street, Net Lima E-Square Crescent Parts West, BGC, Taguig Manila PH"
GoMotion Productions,,1125 Antipolo Street Brgy. Valenzuela Makati City 1200
Gorated Innovation Labs,,"Unit 20, iPark Center, 401 Amang Rodriguez Avenue, Manggahan, Pasig City, Philippines"
Gosam IT Services,Software and Computer Services,Room 301 Onglamco Bldg. 2977 Ramon Magsaysay Blvd. Sampaloc Manila
Gpage Incorporated,Networking,Unit 21 Anonas Plaza Cubao
Grand Alphatech International Corporation (Galinco),Food & Beverage,"424 Gomezville Street, Brgy. Addition Hills, Mandaluyong City, Philippines"
"Great Seas Mariners Training and Assesment Center, Inc.",Maritine Training & Assesment Center,"2/F San Jose Building, Paquita Street cor. España Street, Sampaloc, Manila, Philippines"
Green Lynfrey Engineering Services,,"#2 Balimbing St., Twin River Subd., Nangka Marikina City"
Greenaire Products and Services,"Heating, Ventilating & Air Conditioning Service",JMP Buiding J. Cruz B. Ugong Pasig City
Greenline Construction Works Inc.,Construction & Materials/Plumbling & Fire Protection Contractor,Baesa Quezon City
"Greenology Innovations, Inc. (South East Group)",Fuel Retailing For Equipment Traiding,"361 G. Araneta Avenue, Quezon City, Philippines"
Green Tower Charmelle Inc.,Food and Beverage,50 G. De Jesus Bagong Barrio Caloocan City
"Greymatter Unlimited, Inc.",Hosting/Web Solution,"Unit-K1 Guevent Building, 52 Libertad Street, Mandaluyong City, Philippines"
Growthscout Search Engine Optimizataion Services,Digital Marketing Agency,Timog Ave. Quezon City
GRUNDFOS IS SUPPORT & OPERATION,Pump Manufacturing Industry,"25/26th Floor Robinsons Cyberscape Beta, Ruby Road  "
GTA Management Philippines Corporation,Support Services,1112 Medical Plaza Ortigas No. 25 San Miguel Ave. Ortigas Center San Antonio Pasig City
Gurango Software Corp.,,G/F Topy's Place Bldg. Industria cor. Economia St. Quezon City
"GXS Philippines, Inc. (Opentext)",,"36/F Tower 2 RCBC Plaza 1200, 6819 Ayala cor. Sen. Gil Puyat Avenue, Makati City, Philippines"
"GYG Power Systems, Inc.",,"59 Matias Street, San Francisco del Monte, Quezon City"
Halcyon Digital Media Design Incorporated,Software and Computer Services,"#26, Trinity Building, East Capitol Drive, Kapitolyo, Pasig City"
Hackazouk lnc.,Software and Computer Services,"V3 Alchemy Unit G/F Casa Baronesa Brgy Loyola Heights, QC."
"Hamastar Technology Co., LTD",Music and Entertainment Industry,"18/F 8 Minquan Road Quianzhen District Kaohsiung 806, Taiwan"
Hands On Manila Foundations,innovative and alternative model of volunteer service,"Unit 2-D, L&H Realty Inc, 2310 Chino Roces Ave, Makati, 1231 Metro Manila
"
Hansei Corporation,Engineering Company,"Unit 303 Victoria Tower C, 79 Panay Avenue cor. Timog Avenue, Quezon City, Philippines 1103"
HDI Resource Incorporated,Property/Real State,"Brgy. E.Rodriguez Sr. Cubao, Quezon City"
"HDI System Technologies, Inc.",Semiconductor & Other Electronic Component Manufacturing,"159 ermin garcia street hdi hive campus, brgy erodriguez sr cubao quezon"
"Headstart Business Solutions, Inc. (HBSI)",IT Company,"101 V. Luna Extension, Sikatuna Village, Diliman, Quezon City, Philippines"
"Headstrong Philippines, Inc.",IT Consulting Company,15F Export Bank Plaza Bldg. Gil Puyat Ave. Cor. Chino Roces Makati City
"Healthcare Information Management Association Of the Philippines, Inc.(HIMAP)",Association of Healthcare Informantion Management Services,"5F, IBPAP Office c2 Bldg. Bonifacio High Street, 7th Ave. Cor. 28th St. Bonifacio Global City, taguig City"
"Healthsolutions Enterprises, Inc.",Healthcare/Medical,"TAO Corporate Center 2291 Don Chino Roces Avenue, Makati City, Philippines 1231"
Hearts & Arrows,General Retailer,"1603 161/F Annapolis Wilshine Plaza Bldg. 11 Annapolis Greenhills, San Juan"
"Help Entrepreneurs Launch Plentitude Foundation, Inc.",Financials: Banks / Insurance / Financial Services,"Help Inc. Bldg. Raymundo cor. Alcandeza St. San Juan : Morong, Rizal"
Hemisphere Leo Burnett (LB Manila),Advertising Agency,"24/F Tower 2, The Enterprise Center, Ayala Avenue cor. Paseo De Roxas, Makati City, Philippines"
"Hewlett-Packard Philippines, Inc. (HP)",IT Services,"34/F Robinsons Summit Center, 6783 Ayala Avenue, Makati City, Philippines"
Hexagon Group of Companies,Others:Trading and Manufacturing,"16F Hexagon Corporate Center 1471 Brgy. West Triangle Quezon Avenue, Quezon City, NCR, 1104 Philipines"
Highly Succeed Ltd.,Web Development,"804 Richmonde Plaza Juan San Miguel. Ortigas, Pasig City"
Hilmarc's Construction Corporation,Construction Company,"1835 E. Rodriguez Sr. Avenue, Cubao, Quezon City, Philippines"
Hinge Inquirer Publications (scout Magazine),Media Publishing,"4/F Media Resource Plaza Bldg., Mola cor. Pasong Tirad Sts., Brgy. La Paz, Makati City"
Hitachi Solutions Philippines Corporation,Software and Computer Services,"12th marajo tower, 26th street cor port avenue bgc taguig "
"HIVE, Inc.",IT Company,"Ug 44 Eton Cyberpod, Corinthians, Cor. Edsa Ortigas Ave. Quezon City"
"Holcim Philippines, Inc.",Cement Manufacturing,"7th flr venice corporate mckinly hill, makati city"
Holy Angel University,Basic and Higher education institution,1 Holy Angel Ave. Sto. Rosario St. Angeles City
Holy Reedemer School of Caloocan,,"7 Franville V Subdivision, Urduja, Caloocan City, Philippines"
Holocron Tracker Trading,Software & Computer Services/ Technology Hardware & Equipment,"7F AlphaBase Bldg., 45 Sct. Rallos, Diliman QC, PH"
Honeywell International Philippines Inc.,Electronic & Electrical Equipment,"25th Floor, The Curve Building, 32nd Street cor. 3rd Ave., BGC Taguig City, Philippines 1634"
Hooli Software,Advertising / Design / Marketing / Software /Computer Services,"#30 McArthur Highway, Abangan Sur, Marilao, Bulacan"
Home Development Mutual Fund (Pag-ibig Fund),,"JECP Business Solutions Building, Shaw Boulevard, Mandaluyong City, Philippines"
"Honda Cars Makati, Inc.",Automative Dealership,"Magallanes Commercial Center, Makati City"
"Hongdrill Philippines, Inc.",Construction & Materials,"19 Champaca St. Marikina Heights, Marikina City"
"Hopkins International Partners, Inc.",Education/Training,"2/F L&F Bldg. 107 Aguirre St. Legaspi, Makati City"
HPL Gaming Design,Game Design,82 Road 3 Project 6 quezon City
Huang Construction Corporation,Construction & Materials,"G-033 National H-way, Palanginan. Iba, Zambales"
"Huawei Technologies, Inc.",Telecommunication,"Unit 5302 53/F PB Com Tower, Ayala Avenue cor. Rufino Street, Salcedo Village, Makati City, Philippines"
Hue Media Creative Studio,"design, marketing, copywriting and multimedia","unit 803 8th flr city land pasong tamo tower 1, makati city"
"Human Resource Innovation and Solutions, Inc. (HURIS)",HR Management System/HR Consulting/ HR BPO,"Suite M3, Seven East Capitol Building, No. 7 East Capitol Drive, Barrio Kapitolyo, Pasig City, Philippines 1600"
Human Resources Dev't. Int'l. (HRDIC),Software and Computer Services,"8F Salamin Bldg. Salcedo St. Legaspi Village, Makati City"
"HumanLink Management and Services, Inc.",field of human resource management,"3rd Floor #8 Congressional Ave., Barangay Bahay Toro, Quezon City, Philippines"
"Hungry Work Horse Consultancy, Inc.",Software and Computer Services,"Unit 214-215 Commercenter East Asiai Drive, Alabang, Muntinlupa"
"I-Resource Consulting International, Inc.",IT Services,"2244 iCollege Building, España Avenue, Sampaloc, Manila, Philippines 1008"
"I.T. Easy Software Solutions, Inc.",,"4/F Manna Estate Building, 33A V. Luna Road, Brgy. Pinyahan, Quezon City, Philippines"
"i4 Asia, Inc.",IT Services,"Unit 2014 Strata 100 Building, F. Ortigas Jr. Road, Ortigas Center, Pasig City, Philippines 1605"
IAESTE Philippines - POEC,NO OTHER DOCUMENTS,
"IBM Global Process Services, Inc. (IBM Business Services, Inc.)",Software and Computer Services,"8F 1800 Bldg., Eastwood Avenue Bldg., 116 Eastwood City Cryberpark, E. Rodriguez Jr. Ave., Libis, Quezon City"
"IBM Global Process Services, Inc. (IBM Daksh Business Process Services Philippines, Inc.)",,"8F Hanston Bldg., San Miguel Ave., Ortigas Ctr., Pasig City"
"IBM Global Process Services, Inc. (IBM Solutions Delivery)",NO OTHER DOCUMENTS,
"IBM Philippines, Inc.",Multinational Technology and Consluting Corporation,"5/F IBM Plaza, Eastwood City, Libis Quezon City"
Ichill Internet,Software and Computer Services,"1218 Conception St. Sampaloc, Manila"
"iConnect Global Communications, Inc. (A&S Global Connections)",BPO Company,"A&B 28F IBM Plaza, Eastwood City Cyberpark, E. Rodriguez Jr. Ave., Quezon, City Philippines"
ICP-FNET ENGINEERING,Construction/Contractor,"187 San Jose Bocaue Road, Tungkong Mangga City Of San Jose Del Monte, Bulacan"
"ICT Marketing Services, Inc.",Software and Computer Services,"19/F RCBC Plaza Tower 2, 6819 Ayala Avenue, Makati City, Philippines"
"Icubus Solutions, Inc.",Software and Computer Services,"37 Tomas Morato Avenue, Quezon City, Philippines"
Idea Consultancy,Market Research and HR and Training services,"Unit 1410, 162 Paragon Plaza Condominium, Reliance Street, cor. EDSA, Quezon City, Philippines"
Ideal Minds Corporation,Production House,"Unit 1101 Pacific Center, San Miguel Avenue, Oritgas Center, Pasig City, Philippines 1605"
"Ideyatech, Inc.",IT Company,"1005 West Tower, Tektite Building, Philippine Stock Exchange Centre, Exchange Road, Ortigas Center, Exchange Road, Pasig City, Philippines 1605"
Idnet Consulting Inc. (IT Pros Asia),NO OTHER DOCUMENTS,"Unit 602 North Tower Lee Gardens Condominium, Lee Street cor. Shaw Boulevard, Mandaluyong City, Philippines"
IDP Education Limited,,"Unit A,B, and C, 16/F Marco Polo Hotel Ortigas, Meralco Ave."
"IGT Interglobe Technologies Philippines, Inc.",BPO & IT Services,"6/F 18/20 Building Upper McKinley Road, McKinley Hill, Taguig City, Philippines"
"iGTL Network Services Phils., Inc.",Heavy and Civil Engineering Construction,"Unit 28D Chatam House, Salcedo Village, Makati City, Philippines"
"IIEE Foundation, Inc.",Performance and Safety Testing Laboratory,"41 Monte de Piedad Street, Brgy. Immaculate, Cubao, Quezon City, Philippines"
"iManila (Cloudworx, Inc.)",Web Solution,"7/F Hanston Building, F. Ortigas, Jr. Road, Ortigas Center, Pasig City, Philippines 1605"
Impart Solution Inc.,Software Development/Web Development and IT Consultancy,"2002-B Security Bank Centre, 10776 Ayala Ave, Makati City"
Inaviet System Technologies Inc.,Information and Communication Technology Company,"Mezzanine Floor, Phesco House 491-495 Quezon Ave, Quezon City"
Incuventure Partners Corporation,Software and Computer Services,"Unit 3002 30/F Tycoon Centre, Pearl Drive Street, Ortigas Center, Pasig City, Philippines"
Indigo Entertainment,Game Development,"Unit 201, 139 Corporate Center, 139 Valero Street, Salcedo Village, Makati City, Philippines 1227"
"Indigo8 Solutions (Indigo8 Philippines, Inc.)",IT Company,"Unit 4G Valuepoint Executive Apartment 227 Salcedo St. Legaspi Village, Makati City, 1229"
Indra Philippines,Management Consulting & IT Services,"11-12 F The Rockwell Business Center Tower 1 Ortigas Ave., Pasig City"
"Industrial Electro-Communications, Inc.",Telecommunication,"11/F Jollibee Center Building, San Miguel Avenue, Ortigas Complex, Pasig City, Philippines"
Infinit3 Business Consultancy and Marketing Services,IT Business Process Management Company,"803 Sunset  View Towers, 2230 Roxas Blvd., Pasay City"
"INFOR PSSC, Inc",Technology Hardware & Equipment,"29/F Seven NEO bldg., 5th Ave, BGC, Taguig City"
"Infocycle Solutions, Inc.",BPO/Software and Computer Services,"20th Floor Trident Tower, 312 Sen. Gil Puyat Ave. Makati City"
"Information Managers, Inc.",IT Services,"2/F Skyland Plaza Building, 2302 Sen. Gil Puyat Avenue, Makati City, Philippines"
"Information Ventures, Inc.",,"3/F ECRDC Building, 496 Barangka Drive, Mandaluyong City, Philippines"
Infoworx Inc.,Software and Computer Servicer/Telecommunication,"384B E. Rodriguez Sr. Ave., Cubao, Quezon City"
Ingasco Incorporated,Gas Manufaacturing Company,"23/F One Corporate Center, Meralco cor. Julia Vargas Ave, Ortigas Center, Pasig City, Philippines"
Ingedata Philippines Inc.,BPO Company,"22 F Robinsons Cyberscape Alpha Beta Bldg. Topaz and Ruby Rds. Brgy. San Antonio, Ortigas Center Pasig City 1605, Philippines"
Ingram Micro Philippines BPO LLC,"IT supply-chain, mobile device lifecycle services and logistics solutions","12/F Three World Square, Upper McKinley, McKinley Hill, Taguig City, Philippines"
"Inner Outer Travel, Inc. (Zip Travel)",Consulting Agency,"1985, University Center Building, CM Recto Ave., Sampaloc, Manila"
Innolum,System Application/Developed and Produce LED Lighting Prods,1405 Herrara Tower Valers st. Salcedo Village Makati City
"Innov8tive Design & Development, Inc.",Web design and Development Services,"Unit 305 Building 820, J.P. Rizal Street, Brgy. Poblacion, Makati City, Philippines"
Innovaire Airconditioning Corp.,Manufacturing,"Victoria Villas Townhouse 5 #28 M. Cuenco Corner Mayon st. Brgy. Sta Teresa, Quezon City"
Innovation Inc.,Digital Cafe Services,"12F Anson Bldg. Ortigas, Pasig City"
Innovative Controls,Electronic and Electrical Equipment,"Innovation Center L12B, B1 Verdana Village Center, Daang Hari Rd., Bacoor City, Cavite"
"Innovative Investors and Financing Co, Inc.",Financial,32 F. Castillo St. Project 4 Quezon City
Innovative training Works Inc.,,
"Innove Communications, Inc.",,"14/F Globe Telecom Telepark, 111 Valero Street, Salcedo Village, Makati City, Philippines"
Institute for Nationalist Technology (iNTECH),Non-Government Organization,"9/F Unit C3, Penthouse City Tower, Cubao, Quezon City, Philippines"
Institute of Integrated Electrical Engineers of the Philippines Inc.,Membership,"#14 Monte de Piedad St. Brgy. Immaculate Conception , Quezon City"
Institutional Shareholder Services Inc. (formerly RiskMetrics Group),Investment Management,"15/F Solaris One Building, 130 dela Rosa Street, Makati City, Philippines"
"Integrated Computer Systems, Inc. (ICS)",Corporate Provider of IT Products & is Presently Also A Solutions Provider,"3/F Limketkai Building, Ortigas Avenue, Greenhills, San Juan City, Philippines"
"Integrated Micro-electronics, Inc. (IMI)",Electronic Manufacturing Company,"North Science Avenue, Laguna, Technopark, Special Export Processing Zone, Biñan, Laguna, Philippines"
Integrated Open Source Solutions,IT Services,"2/F iOSS Office, 1052 EDSA Building, Magallanes Village, Makati City, Philippines"
"Intel Technology Philippines, Inc.",NO OTHER DOCUMENTS,"CV1, Gateway Business Park, Brgy. Javalera, General Trias, Cavite"
Intellicare Asalus Corporation,Health Maintenance Organization,"7/F Feliza Building, 108 V.A. Rufino Street (formerly Herrera Street), Legaspi Village, Makati City, Philippines 1229"
Intelligent Technical Solutions,Software & Computer Services,2880 Meade Ave Suite 350 Las Vegas NV 89102
"Intelligent Wave Philippines, Inc. (iWave, Inc.)",IT Solutions Provider,"U-904-907 9/F Philippine AXALife Centre, 1286 Sen. Gil J. Puyat Avenue cor. Tindalo Street, Makati City, Philippines 1200"
"Intellismart Technology, Inc.",IT Company,"16-A Cataduanes Street, Brgy. Paltok, Quezon City, Philippines"
"Inteltech Resources, Inc.",,"Suite 11-A L.V. Locsin Building, 6752 Ayala Avenue cor. Makati City Avenue, Makati City, Philippines"
"Inter-Island Information Systems, Inc.",NO OTHER DOCUMENTS,"8/F AIC Centre Building, 204 Escolta Street cor. Nueva Street, Binondo, Manila, Philippines 1006"
Inter-Pacific Data Mgt. System,,
Interactive Technology Solutions Inc. (ITECH),,"110 URC Compound, E. Rodriguez Jr. Avenue, C-5 Road, Bagumbayan, Quezon City, Philippines"
InterContinental Hotels Group- Academy Crowne Plaza,,
InterContinental Hotels Group- Academy Holiday Inn,,
Interiors Manila by ANC Enterprises,Advertsing/Design/Marketing/Construction and Materials,"Unit 404 M.O.R.E Business Center Ortigas Extension, Taytay, Rizal"
"International Container Terminal Services, Inc. (ICTSI)",Port Operator,"ICTSI Administration Building, Manila International Container Terminal, MICT South Access Road, Port of Manila, Manila, Philippines 1012"
"International e-Biz Technologies, Inc.",,"Unit 402 4/F ANSA II Building, 1078 Chino Roces Avenue cor. Montojo Street, Makati City, Philippines"
International Elevator & Equipment ,Specialty Contractor,"KM 23 West Service road South Superhighway, Cupang, muntinlupa City"
"International Innovative Work Central, Inc. (Vegalink, Inc.)",Personnel & Training Development,"304B 3/F Guadalupe Commercial Complex, Edsa Guadalupe, Makati City, Philippines"
Internet of Things Philippines Inc.,Electronic & Electrical Equipment,"Unit A Pinaglabanan Square, No. 18 Pinaglabanan cor Paraiso Sts., San Juan City, Metro Manila, Philippines"
Internet Strategy Branding & eXecution Phils. Inc. (ISBX),,"W-2501A West tower, Philippine Stock Exchange Centre, Exchange Road, Ortigas Center, Pasig City"
Intex Telecom Systems (Filcomserve),Telecommunication,"9369 Kamagong Street, San Antonio Village, Makati City, Philippines 1200"
iOpenhub Incorporated,Web and Content Development,"West City Plaza Bldg., West Avenue, Quezon City"
Invisible Hand Inc.,Software & Computer Services,48 14th Barangay Mariana New Manila Quezon City
"iOpex Technologies, Inc.",Digital Engineering/Operations and Studio services,"12/F Net Lima Building, 26th Street cor. 5th Avenue, 1634 Fort Bonifacio, Taguig City, Philippines"
"IP Converge Data Services, Inc.",IT/Telecommunication,"34/F RCBC Plaza Tower II, Ayala Avenue, Makati City, Philippines 1200"
"iPlus Intelligent Network, Inc.",Software and Computer Services,"3/F LV Locsin Building, Ayala Avenue cor. Makati Avenue, Makati City, Philippines"
IPM Construction & Development Corp. ,Construction & Materials,"8F Ortigas Bldg. Meralco Ave, Pasig City"
Ipsum Marketing Services,Software and Computer Services/Advertising/Design/Marketing,"4F-03 Metropoli CINQ Building, Metropoli Residenza, Bagumbayan, Quezon City"
iRipple,Software and Computer Services,"2305B East Tower PSEC, Ortigas, Pasig City"
IQVIA Solutions Operation Center Philippines Inc. ,BPO Company/Data Analytics,"4F One World Sqaure Bldg. Mckinley Hills, Taguig City"
ISBX Philippines,Website Development and Outsourcing,"W-250/A West Tower PSEC Ortigas Center, Pasig City"
"Isometric Enterprises, Incorporated",Electronic & Electrical Equipment,"5F Unit 508 Topaz Bldg. Kamias Rd. Brgy. Malaya, Quezon City"
ISS | Institutional Shareholder Services Inc.,,
ISS Governance,,
Isuzu Automative Dealership Inc.,Automotive Dealership .,"Alabang-Zapote Road Corner Acacia Ave. Ayala Alabang, Muntinlupa City"
IT Easy Software Solution Inc.,Software and Computer Services,"5E Mahiyain St. Teachers Village West, Quezon City"
"IT Group, Inc.",Web Development,"3F Unit 20, Topy's place bldg., Economia & Industria Sts., Bagumbayan, Libis, Quezon City"
IT ProAsia,NO OTHER DOCUMENTS,
"Itech-Rar, Inc. ",Software and Computer Services,"Room 208, Krizia bldg., Gonzales Compound, Gorordo Ave., Cebu City"
